Seq#,Sample_No,"Duplicate
Sample_No",Campaign,QCType,Original QC,HoleID,From,To,Lab,Certificate_No,Certficate Date,Duplicate Lab,"Duplicate
Cert_No",Duplicate Cert Date,Ag,Duplicate Ag,Au,Duplicate Au,Cu,Duplicate Cu,Pb,Duplicate Pb,Zn,Duplicate Zn
52,854188,854238,First Drill Campaign,RC-Chip_Duplicate,854238,MEZ-21-018,30.50,32.03,,HE21204461 - Finalized,20/09/2021,,HE21204461 - Finalized,20/09/2021,0.800,0.250,0.013,0.006,67.500,29.500,483.500,46.000,917.500,176.000
53,854219,854239,First Drill Campaign,RC-Chip_Duplicate,854239,MEZ-21-018,73.20,74.73,,HE21204461 - Finalized,20/09/2021,,HE21204461 - Finalized,20/09/2021,0.250,0.900,0.006,0.011,27.500,74.000,49.000,497.500,182.000,915.000
54,854252,854313,First Drill Campaign,RC-Chip_Duplicate,854313,MEZ-21-020,15.25,16.78,,HE21204463 - Finalized,23/09/2021,,HE21204463 - Finalized,23/09/2021,0.250,0.250,0.003,0.003,3.000,5.000,36.000,39.500,253.000,259.500
55,854268,854314,First Drill Campaign,RC-Chip_Duplicate,854314,MEZ-21-020,38.13,39.65,,HE21204463 - Finalized,23/09/2021,,HE21204463 - Finalized,23/09/2021,1.700,1.650,0.010,0.010,72.500,77.500,1575.000,1515.000,3205.000,3070.000
56,855013,855075,First Drill Campaign,RC-Chip_Duplicate,855075,MEZ-21-009,15.25,16.78,,HE21200807 - Finalized,17/09/2021,,HE21200807 - Finalized,17/09/2021,0.500,0.450,0.056,0.052,8.500,8.500,9.500,8.500,40.500,33.000
57,855024,855076,First Drill Campaign,RC-Chip_Duplicate,855076,MEZ-21-009,30.50,32.03,,HE21200807 - Finalized,17/09/2021,,HE21200807 - Finalized,17/09/2021,0.250,0.250,0.004,0.003,27.500,31.500,8.000,7.000,74.500,71.500
58,855056,855077,First Drill Campaign,RC-Chip_Duplicate,855077,MEZ-21-009,74.73,76.25,,HE21200807 - Finalized,17/09/2021,,HE21200807 - Finalized,17/09/2021,0.250,0.250,0.008,0.008,27.000,28.000,23.000,27.000,43.000,47.000
59,855068,855078,First Drill Campaign,RC-Chip_Duplicate,855078,MEZ-21-009,91.50,93.03,,HE21200807 - Finalized,17/09/2021,,HE21200807 - Finalized,17/09/2021,0.250,0.300,0.011,0.011,15.500,17.000,12.500,12.500,64.500,66.500
60,855086,855225,First Drill Campaign,RC-Chip_Duplicate,855225,MEZ-21-010,9.15,10.68,,HE21200808 - Finalized,18/09/2021,,HE21200808 - Finalized,18/09/2021,1.350,1.300,0.030,0.030,22.500,22.000,9.000,8.500,36.000,35.500
61,855116,855226,First Drill Campaign,RC-Chip_Duplicate,855226,MEZ-21-010,50.33,51.85,,HE21200808 - Finalized,18/09/2021,,HE21200808 - Finalized,18/09/2021,0.500,0.500,0.014,0.014,22.000,21.000,37.000,34.000,38.500,35.500
62,855147,855227,First Drill Campaign,RC-Chip_Duplicate,855227,MEZ-21-010,93.03,94.55,,HE21200808 - Finalized,18/09/2021,,HE21200808 - Finalized,18/09/2021,13.250,14.400,0.075,0.074,154.500,171.000,3160.000,3425.000,5000.000,5000.000
63,855174,855228,First Drill Campaign,RC-Chip_Duplicate,855228,MEZ-21-010,129.63,131.15,,HE21200808 - Finalized,18/09/2021,,HE21200808 - Finalized,18/09/2021,0.650,0.500,0.012,0.013,25.500,26.000,63.000,84.000,233.000,291.000
64,855204,855229,First Drill Campaign,RC-Chip_Duplicate,855229,MEZ-21-010,170.8,172.325,,HE21200808 - Finalized,18/09/2021,,HE21200808 - Finalized,18/09/2021,0.850,1.000,0.011,0.011,137.500,178.500,42.000,50.000,161.500,164.000
65,855224,855230,First Drill Campaign,RC-Chip_Duplicate,855230,MEZ-21-010,198.25,199.78,,HE21200808 - Finalized,18/09/2021,,HE21200808 - Finalized,18/09/2021,0.800,0.750,0.012,0.013,38.000,42.500,65.500,79.500,262.500,266.500
66,855266,855304,First Drill Campaign,RC-Chip_Duplicate,855304,MEZ-21-013,47.28,48.80,,HE21202134 - Finalized,22/09/2021,,HE21202134 - Finalized,22/09/2021,0.250,0.400,0.007,0.009,24.500,24.000,7.500,10.000,237.500,225.500
67,855302,855305,First Drill Campaign,RC-Chip_Duplicate,855305,MEZ-21-013,97.60,99.13,,HE21202134 - Finalized,22/09/2021,,HE21202134 - Finalized,22/09/2021,0.350,0.400,0.012,0.011,33.000,33.500,34.500,32.500,69.000,68.500
68,855311,855413,First Drill Campaign,RC-Chip_Duplicate,855413,MEZ-21-014,6.10,7.63,,HE21202135 - Finalized,23/09/2021,,HE21202135 - Finalized,23/09/2021,0.250,0.500,0.006,0.005,29.500,18.500,22.500,13.500,75.500,59.000
69,855347,855414,First Drill Campaign,RC-Chip_Duplicate,855414,MEZ-21-014,56.43,57.95,,HE21202135 - Finalized,23/09/2021,,HE21202135 - Finalized,23/09/2021,0.250,9.300,0.005,0.025,22.000,198.500,9.500,837.500,87.500,2905.000
70,855404,855415,First Drill Campaign,RC-Chip_Duplicate,855415,MEZ-21-014,137.25,138.78,,HE21202135 - Finalized,23/09/2021,,HE21202135 - Finalized,23/09/2021,0.500,0.500,0.005,0.006,16.500,13.000,52.500,45.000,96.500,112.500
71,855467,855489,First Drill Campaign,RC-Chip_Duplicate,855489,MEZ-21-017,68.63,70.15,,HE21204459 - Finalized,24/09/2021,,HE21204459 - Finalized,24/09/2021,11.950,9.650,0.153,0.140,378.000,347.500,1105.000,1035.000,2400.000,2485.000
72,855488,855490,First Drill Campaign,RC-Chip_Duplicate,855490,MEZ-21-017,99.13,100.65,,HE21204459 - Finalized,24/09/2021,,HE21204459 - Finalized,24/09/2021,0.250,0.250,0.004,0.004,21.000,18.500,9.500,13.000,80.000,78.500
73,855505,855564,First Drill Campaign,RC-Chip_Duplicate,855564,MEZ-21-019,18.30,19.83,,HE21204462 - Finalized,24/09/2021,,HE21204462 - Finalized,24/09/2021,0.250,0.250,0.014,0.016,21.500,22.000,12.000,11.500,82.500,84.500
74,855552,855565,First Drill Campaign,RC-Chip_Duplicate,855565,MEZ-21-019,82.35,83.88,,HE21204462 - Finalized,24/09/2021,,HE21204462 - Finalized,24/09/2021,0.250,0.250,0.004,0.004,22.000,20.500,14.000,12.500,83.000,79.500
