Seq#,Sample_No,"Duplicate
Sample_No",Campaign,QCType,Original QC,HoleID,From,To,Lab,Certificate_No,Certficate Date,Duplicate Lab,"Duplicate
Cert_No",Duplicate Cert Date,Ag,Duplicate Ag,Au,Duplicate Au,Pb,Duplicate Pb,Zn,Duplicate Zn
36,CRD22-073-072,CRD22-073-073,Unknown,CoreDuplicate,CRD22-073-073,CRD22-73,211.55,212.8,,HE22362647 - Finalized,04/02/2023,,HE22362647 - Finalized,04/02/2023,12.950,7.150,0.025,0.022,5000.000,5000.000,5000.000,5000.000
37,CRD22-073-085,CRD22-073-086,Unknown,CoreDuplicate,CRD22-073-086,CRD22-73,227.4,228.9,,HE22362647 - Finalized,04/02/2023,,HE22362647 - Finalized,04/02/2023,0.500,0.500,0.029,0.065,14.500,14.500,5000.000,5000.000
38,CRD22-083-060,CRD22-083-061,Unknown,CoreDuplicate,CRD22-083-061,CRD22-83,134.2,135.5,,HE23017075 - Finalized,06/03/2023,,HE23017075 - Finalized,06/03/2023,0.400,0.500,0.028,0.035,9.000,11.500,56.000,95.000
39,CRD22-084-056,CRD22-084-057,Unknown,CoreDuplicate,CRD22-084-057,CRD22-84,176.6,178.1,,HE22355075 - Finalized,27/01/2023,,HE22355075 - Finalized,27/01/2023,2.600,2.750,0.007,0.007,119.500,148.500,457.000,450.000
40,CRD22-085-058,CRD22-085-057,Unknown,CoreDuplicate,CRD22-085-057,CRD22-85,180.75,182.35,,HE22355076 - Finalized,28/01/2023,,HE22355076 - Finalized,28/01/2023,12.850,10.500,0.079,0.091,5000.000,2785.000,5000.000,5000.000
41,CRD22-086-015,CRD22-086-016,Unknown,CoreDuplicate,CRD22-086-016,CRD22-86,133.5,135.5,,HE22357711 - Finalized,29/01/2023,,HE22357711 - Finalized,29/01/2023,2.300,2.050,0.044,0.086,144.500,201.000,341.000,288.500
42,CRD22-087-026,CRD22-087-027,Unknown,CoreDuplicate,CRD22-087-027,CRD22-87,138.1,139.1,,HE22357712 - Finalized,29/01/2023,,HE22357712 - Finalized,29/01/2023,50.000,50.000,0.048,0.060,5000.000,5000.000,5000.000,5000.000
43,CRD22-088-022,CRD22-088-023,Unknown,CoreDuplicate,CRD22-088-023,CRD22-88,90.1,92.1,,HE22357713 - Finalized,29/01/2023,,HE22357713 - Finalized,29/01/2023,1.100,0.900,0.012,0.011,56.500,48.000,158.500,173.500
44,CRD22-090-010,CRD22-090-011,Unknown,CoreDuplicate,CRD22-090-011,CRD22-90,89,90.7,,HE22361403 - Finalized,09/02/2023,,HE22361403 - Finalized,09/02/2023,0.100,0.150,0.003,0.003,5.500,5.500,124.500,121.000
45,CRD22-090-056,CRD22-090-057,Unknown,CoreDuplicate,CRD22-090-057,CRD22-90,161.6,162.6,,HE22361403 - Finalized,09/02/2023,,HE22361403 - Finalized,09/02/2023,1.250,1.350,0.057,0.051,46.000,59.000,112.000,105.500
46,CRD22-090-082,CRD22-090-081,Unknown,CoreDuplicate,CRD22-090-081,CRD22-90,214.75,215.45,,HE22361403 - Finalized,09/02/2023,,HE22361403 - Finalized,09/02/2023,23.850,25.600,0.146,0.112,5000.000,5000.000,5000.000,5000.000
47,CRD22-090-094,CRD22-090-095,Unknown,CoreDuplicate,CRD22-090-095,CRD22-90,230.45,231.25,,HE22361403 - Finalized,09/02/2023,,HE22361403 - Finalized,09/02/2023,12.950,25.000,0.047,0.058,5000.000,5000.000,5000.000,5000.000
48,CRD22-091-005,CRD22-091-006,Unknown,CoreDuplicate,CRD22-091-006,CRD22-70-OR,123.9,125.3,,HE22367721 - Finalized,13/02/2023,,HE22367721 - Finalized,13/02/2023,3.000,2.800,0.036,0.027,38.500,41.000,216.500,142.000
49,CRD22-091-014,CRD22-091-015,Unknown,CoreDuplicate,CRD22-091-015,CRD22-70-OR,133.05,134.05,,HE22367721 - Finalized,13/02/2023,,HE22367721 - Finalized,13/02/2023,11.850,16.350,0.108,0.087,2490.000,2990.000,5000.000,5000.000
50,CRD22-091-041,CRD22-091-042,Unknown,CoreDuplicate,CRD22-091-042,CRD22-70-OR,201.5,202.5,,HE22367721 - Finalized,13/02/2023,,HE22367721 - Finalized,13/02/2023,13.300,12.500,0.105,0.128,610.000,403.500,5000.000,5000.000
51,CRD22-092-012,CRD22-092-013,Unknown,CoreDuplicate,CRD22-092-013,CRD22-92,202,203,,HE22367722 - Finalized,09/02/2023,,HE22367722 - Finalized,09/02/2023,10.250,8.850,0.815,0.105,50.000,34.000,88.500,89.000
52,CRD22-092-034,CRD22-092-035,Unknown,CoreDuplicate,CRD22-092-035,CRD22-92,251,252.39,,HE22367722 - Finalized,09/02/2023,,HE22367722 - Finalized,09/02/2023,5.900,5.800,0.084,0.069,47.000,33.500,5000.000,5000.000
53,CRD22-093-016,CRD22-093-017,Unknown,CoreDuplicate,CRD22-093-017,CRD22-93,102.45,104.42,,HE22362648 - Finalized,03/02/2023,,HE22362648 - Finalized,03/02/2023,1.750,1.450,0.520,0.528,46.500,37.500,5000.000,5000.000
54,CRD22-094-016,CRD22-094-017,Unknown,CoreDuplicate,CRD22-094-017,CRD22-94,72,73,,HE22362649 - Finalized,03/02/2023,,HE22362649 - Finalized,03/02/2023,1.150,0.950,0.062,0.052,51.000,44.000,180.500,203.500
55,CRD22-095-012,CRD22-095-013,Unknown,CoreDuplicate,CRD22-095-013,CRD22-95,52.4,54.4,,HE22367723 - Finalized,11/02/2023,,HE22367723 - Finalized,11/02/2023,1.600,1.800,0.103,0.041,26.000,24.000,154.000,147.500
56,CRD22-095-024,CRD22-095-025,Unknown,CoreDuplicate,CRD22-095-025,CRD22-95,98,99.5,,HE22367723 - Finalized,11/02/2023,,HE22367723 - Finalized,11/02/2023,1.900,1.900,0.016,0.020,72.000,81.000,5000.000,5000.000
57,CRD22-096-028,CRD22-096-029,Unknown,CoreDuplicate,CRD22-096-029,CRD22-96,97.3,99.3,,HE22367724 - Finalized,13/02/2023,,HE22367724 - Finalized,13/02/2023,8.500,8.400,0.057,0.051,4730.000,4185.000,,
